Human_Accuracy,LLM_Accuracy
0.8,1.0
0.3,0.7222222222222222
0.6,0.8888888888888888
1.0,0.8888888888888888
0.6,0.5555555555555556
0.6,0.8888888888888888
0.5,0.8888888888888888
0.3,0.8333333333333334
1.0,0.7777777777777777
,1.0
,0.8888888888888888
,0.9444444444444445
,0.7777777777777778
,0.8888888888888888
,0.8888888888888888
,1.0
,0.7777777777777777
,0.8888888888888888
,0.8333333333333334
,0.611111111111111
,0.8333333333333334
,1.0
,0.8888888888888888
,0.611111111111111
,1.0
,0.8333333333333334
,0.8333333333333334
,0.8888888888888888
,0.6666666666666666
,1.0
,0.9444444444444443
,0.9444444444444445
,0.8888888888888888
,0.05555555555555555
,0.9444444444444445
,0.9444444444444445
,0.7222222222222222
,0.6666666666666666
,0.6666666666666666
,0.7222222222222222
,0.8333333333333334
,0.7222222222222222
,0.16666666666666666
,0.5555555555555555
,0.7777777777777777
,0.8333333333333334
,0.9444444444444445
,0.8333333333333334
,0.9444444444444443
,0.7777777777777778
,0.7777777777777777
,0.8333333333333334
,0.5555555555555555
,0.8333333333333334
,0.8333333333333334
,0.8333333333333334
,0.7777777777777778
,0.8888888888888888
,1.0
,0.8888888888888888
,0.8888888888888888
,0.7777777777777778
,0.9444444444444445
,0.6666666666666666
,0.9444444444444445
,0.8888888888888888
,0.8888888888888888
,0.9444444444444445
,0.7777777777777778
,0.8333333333333334
,0.8888888888888888
,0.7777777777777778
,0.8888888888888888
,0.05555555555555555
,1.0
,0.5555555555555555
,0.7222222222222222
,0.9444444444444443
,0.9444444444444443
,0.8333333333333334
,0.9444444444444445
,0.05555555555555555
,0.8888888888888888
,0.7222222222222222
,0.8888888888888888
,0.6666666666666666
,1.0
,0.8888888888888888
,0.6666666666666666
,0.6666666666666666
