Human_Time_Sec,LLM_Time_Sec
195.1,48.31388888888889
225.1,65.90166666666669
187.0,53.39555555555555
139.1,65.08
116.7,83.07388888888889
177.0,52.20222222222222
159.7,40.36888888888888
165.2,37.407777777777774
131.0,43.73666666666667
,46.42055555555556
,40.931111111111115
,57.15388888888889
,44.605
,31.861111111111114
,47.84944444444445
,43.32222222222223
,53.88944444444445
,48.04666666666666
,62.030555555555544
,61.851111111111116
,59.714444444444446
,31.953333333333333
,60.148888888888884
,66.11111111111111
,30.558333333333334
,49.19833333333333
,29.68777777777778
,69.07388888888889
,32.498333333333335
,46.395
,32.385
,28.633888888888887
,52.71166666666667
,71.49944444444445
,47.04055555555556
,61.86277777777777
,32.89277777777778
,57.032777777777774
,77.10833333333333
,60.005
,65.01166666666667
,46.58611111111111
,76.60166666666667
,58.720555555555556
,60.57277777777778
,63.135555555555555
,53.291111111111114
,56.15388888888888
,52.081666666666656
,69.20944444444444
,43.36666666666667
,35.766666666666666
,51.791111111111114
,45.46666666666667
,43.63277777777778
,62.673333333333325
,63.13166666666667
,78.14777777777779
,28.393888888888892
,61.56055555555556
,67.34666666666666
,52.21555555555556
,55.88611111111111
,61.72666666666667
,49.585
,48.129999999999995
,65.43666666666667
,45.43000000000001
,31.561666666666667
,56.635
,57.39944444444444
,49.44833333333333
,60.16944444444445
,78.52999999999999
,41.166666666666664
,43.79888888888888
,37.74388888888889
,46.11055555555555
,33.88
,33.05833333333334
,47.39611111111111
,71.68944444444445
,45.327222222222225
,49.88666666666666
,51.050555555555555
,42.324444444444445
,46.419444444444444
,48.505
,46.18555555555556
,45.45499999999999
