model,quality_condition,human_accuracy,model_accuracy,accuracy_difference,human_avg_time,model_avg_time,time_speedup_factor,human_avg_cost,model_avg_cost,human_sample_size,model_sample_size
claude-sonnet-4-20250514,Q0,0.6666666666666666,0.9851851851851852,0.31851851851851853,154.42222222222222,13.391703703703701,11.531185698165809,1.0723765432098766,0.0,45,135
claude-sonnet-4-20250514,Q1,0.7333333333333333,1.0,0.2666666666666667,176.4,14.584444444444443,12.095078470211794,1.2250000000000003,0.0,15,45
claude-sonnet-4-20250514,Q2,0.5333333333333333,0.7111111111111111,0.1777777777777778,169.73333333333332,14.825111111111111,11.449042915173953,1.1787037037037036,0.0,15,45
claude-sonnet-4-20250514,Q3,0.5333333333333333,0.9777777777777777,0.4444444444444444,187.86666666666667,14.892666666666665,12.614709700523749,1.3046296296296298,0.0,15,45
gpt-4o-mini-2024-07-18,Q0,0.6666666666666666,0.5481481481481482,-0.11851851851851847,154.42222222222222,90.45466666666667,1.7071780584995306,1.0723765432098766,0.0,45,135
gpt-4o-mini-2024-07-18,Q1,0.7333333333333333,0.4222222222222222,-0.31111111111111106,176.4,104.4217777777778,1.6893027848596927,1.2250000000000003,0.0,15,45
gpt-4o-mini-2024-07-18,Q2,0.5333333333333333,0.4222222222222222,-0.1111111111111111,169.73333333333332,79.99222222222221,2.121872959871099,1.1787037037037036,0.0,15,45
gpt-4o-mini-2024-07-18,Q3,0.5333333333333333,0.5555555555555556,0.022222222222222254,187.86666666666667,71.36644444444445,2.6324229563224546,1.3046296296296298,0.0,15,45
deepseek-reasoner,Q0,0.6666666666666666,1.0,0.33333333333333337,154.42222222222222,130.93533333333332,1.179377775967441,1.0723765432098766,0.0,45,135
deepseek-reasoner,Q1,0.7333333333333333,1.0,0.2666666666666667,176.4,173.39733333333336,1.017316683070866,1.2250000000000003,0.0,15,45
deepseek-reasoner,Q2,0.5333333333333333,0.8444444444444444,0.3111111111111111,169.73333333333332,207.90244444444443,0.8164085505915702,1.1787037037037036,0.0,15,45
deepseek-reasoner,Q3,0.5333333333333333,1.0,0.4666666666666667,187.86666666666667,184.62244444444445,1.0175721983964872,1.3046296296296298,0.0,15,45
o4-mini-2025-04-16,Q0,0.6666666666666666,0.7851851851851852,0.11851851851851858,154.42222222222222,9.931037037037038,15.54945587719756,1.0723765432098766,0.0,45,135
o4-mini-2025-04-16,Q1,0.7333333333333333,0.6222222222222222,-0.11111111111111105,176.4,10.497111111111112,16.804623494294727,1.2250000000000003,0.0,15,45
o4-mini-2025-04-16,Q2,0.5333333333333333,0.4444444444444444,-0.0888888888888889,169.73333333333332,10.650222222222222,15.937069649042272,1.1787037037037036,0.0,15,45
o4-mini-2025-04-16,Q3,0.5333333333333333,0.6888888888888889,0.15555555555555556,187.86666666666667,10.206666666666665,18.406270411495758,1.3046296296296298,0.0,15,45
claude-3-5-haiku-latest,Q0,0.6666666666666666,1.0,0.33333333333333337,154.42222222222222,7.416814814814815,20.820557891477822,1.0723765432098766,0.0,45,135
claude-3-5-haiku-latest,Q1,0.7333333333333333,1.0,0.2666666666666667,176.4,8.702444444444446,20.270166747529426,1.2250000000000003,0.0,15,45
claude-3-5-haiku-latest,Q2,0.5333333333333333,0.7111111111111111,0.1777777777777778,169.73333333333332,7.902000000000001,21.479794144942204,1.1787037037037036,0.0,15,45
claude-3-5-haiku-latest,Q3,0.5333333333333333,0.8666666666666667,0.33333333333333337,187.86666666666667,8.278222222222222,22.694083539138838,1.3046296296296298,0.0,15,45
deepseek-chat,Q0,0.6666666666666666,0.8888888888888888,0.2222222222222222,154.42222222222222,30.633333333333333,5.040986579615524,1.0723765432098766,0.0,45,135
deepseek-chat,Q1,0.7333333333333333,0.7555555555555555,0.022222222222222254,176.4,29.81244444444445,5.916992158382778,1.2250000000000003,0.0,15,45
deepseek-chat,Q2,0.5333333333333333,0.4666666666666667,-0.06666666666666665,169.73333333333332,30.226222222222223,5.615433251481421,1.1787037037037036,0.0,15,45
deepseek-chat,Q3,0.5333333333333333,0.7555555555555555,0.2222222222222222,187.86666666666667,28.930000000000003,6.493835695356608,1.3046296296296298,0.0,15,45
